study	study_short	condition	organism	replicate_idx	replicate_label	row_type	classifier	reads	bases	dna_pg	dna_basis	reads_per_fg	bases_per_fg	verified	source	source_detail	provenance_note	round	experiment	sample_id	mode
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	1.0	replicate 1	sample	minimap2_competitive	246675.0	574573464.0	1206.72	qubit_library_input	0.2044177605	476.1448091	True	pipeline_run_snapshot	results/lowinput_s1_r1/competitive/lowinput_s1_r1.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 1	lowinput_s1	lowinput_s1_r1	competitive
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	2.0	replicate 2	sample	minimap2_competitive	139146.0	363100442.0	1206.72	qubit_library_input	0.1153092681	300.8986691	True	pipeline_run_snapshot	results/lowinput_s1_r2/competitive/lowinput_s1_r2.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 1	lowinput_s1	lowinput_s1_r2	competitive
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	3.0	replicate 3	sample	minimap2_competitive	143835.0	383801903.0	1340.64	qubit_library_input	0.1072883101	286.2825986	True	pipeline_run_snapshot	results/lowinput_s1_r3/competitive/lowinput_s1_r3.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 1	lowinput_s1	lowinput_s1_r3	competitive
This study	This study	D6321 whole cells, post-extraction, depletion-mode adaptive sampling	All organisms	1.0	replicate 1	sample	minimap2_competitive	30346.0	63577885.0	260.0	qubit_library_input	0.1167153846	244.5303269	True	pipeline_run_snapshot	results/lowinput_s2_r1/competitive/lowinput_s2_r1.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 2	lowinput_s2	lowinput_s2_r1	competitive
This study	This study	D6321 whole cells, post-extraction, depletion-mode adaptive sampling	All organisms	2.0	replicate 2	sample	minimap2_competitive	72049.0	161149287.0	320.0	qubit_library_input	0.225153125	503.5915219	True	pipeline_run_snapshot	results/lowinput_s2_r2/competitive/lowinput_s2_r2.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 2	lowinput_s2	lowinput_s2_r2	competitive
This study	This study	D6321 whole cells, post-extraction, depletion-mode adaptive sampling	All organisms	3.0	replicate 3	sample	minimap2_competitive	70698.0	161033491.0	400.0	qubit_library_input	0.176745	402.5837275	True	pipeline_run_snapshot	results/lowinput_s2_r3/competitive/lowinput_s2_r3.metrics.tsv, 'All organisms' row	Snapshot of pipeline output, written by bin/comparison/seed_this_study.py so the figure can be redrawn without the reads. Identical to what --results-dir produces; input masses come from assets/measurements.tsv via the pipeline, not from this file.	Round 2	lowinput_s2	lowinput_s2_r3	competitive
