# All seven replicates of this study, in one run.
#
# Use this rather than the two per-experiment samplesheets when you want a
# single results/summary/ covering both datasets: AGGREGATE only ever sees the
# samples of the run that invoked it, so running the experiments separately
# leaves the second run's summary overwriting the first.
#
# Run with --mode both to get competitive and sequential assignment over the
# same alignments. For lowinput_s1 that contrast is the point (the community
# contains its own E. coli, which subtraction destroys). For lowinput_s2 it is a
# control: no community organism shares homology with lambda or E. coli, so the
# two modes should agree closely, and any large divergence would indicate a bug
# rather than biology.
#
# Masses live in assets/measurements.tsv. See lowinput_s1.csv for full column
# documentation.
sample_id,experiment,replicate,fastq,sra_accession,biosample_accession,reference_set,notes
lowinput_s1_r1,lowinput_s1,1,data/lowinput_s1_r1.fastq,,SAMN62407365,assets/references/lowinput_s1.tsv,
lowinput_s1_r2,lowinput_s1,2,data/lowinput_s1_r2.fastq,,SAMN62407366,assets/references/lowinput_s1.tsv,
lowinput_s1_r3,lowinput_s1,3,data/lowinput_s1_r3.fastq,,SAMN62407367,assets/references/lowinput_s1.tsv,
lowinput_s2_r0,lowinput_s2,0,data/lowinput_s2_r0.fastq,,SAMN62407368,assets/references/lowinput_s2.tsv,fewer preps into extraction than r1-r3
lowinput_s2_r1,lowinput_s2,1,data/lowinput_s2_r1.fastq,,SAMN62407369,assets/references/lowinput_s2.tsv,
lowinput_s2_r2,lowinput_s2,2,data/lowinput_s2_r2.fastq,,SAMN62407370,assets/references/lowinput_s2.tsv,
lowinput_s2_r3,lowinput_s2,3,data/lowinput_s2_r3.fastq,,SAMN62407371,assets/references/lowinput_s2.tsv,
