# lowinput_s2 -- D6321 Spike-in Control II (Low Microbial Load), whole cells
# Sub-nanogram community DNA on a lambda genomic carrier, depletion-mode
# adaptive sampling. The three spike-in organisms share no homology with lambda
# or E. coli, which makes this the clean dataset for the headline enrichment
# result.
#
# r0 is excluded from the headline statistics. Its mass is recorded like any
# other; what disqualifies it is the basis -- an extrapolation below the Qubit
# HS reporting range rather than a reading within it. See measurements.tsv,
# where the exclusion and its reason are both explicit fields.
#
# Masses live in assets/measurements.tsv; see columns documented in
# lowinput_s1.csv.
sample_id,experiment,replicate,fastq,sra_accession,biosample_accession,reference_set,notes
lowinput_s2_r0,lowinput_s2,0,data/lowinput_s2_r0.fastq,SRR40180150,SAMN62407368,assets/references/lowinput_s2.tsv,fewer preps into extraction than r1-r3
lowinput_s2_r1,lowinput_s2,1,data/lowinput_s2_r1.fastq,SRR40180149,SAMN62407369,assets/references/lowinput_s2.tsv,
lowinput_s2_r2,lowinput_s2,2,data/lowinput_s2_r2.fastq,SRR40180148,SAMN62407370,assets/references/lowinput_s2.tsv,
lowinput_s2_r3,lowinput_s2,3,data/lowinput_s2_r3.fastq,SRR40180147,SAMN62407371,assets/references/lowinput_s2.tsv,
