study	study_short	condition	organism	replicate_idx	replicate_label	row_type	classifier	reads	bases	dna_pg	dna_basis	reads_per_fg	bases_per_fg	verified	source	source_detail	provenance_note	round	experiment	sample_id	mode
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	0	replicate 1	sample	minimap2_competitive	748476	964636693	1206.7197999999999	qubit_library_input	0.6202566660462521	799.3874742090087	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'S1', row with Plot==1, Replicate==1	Round 1 headline ('All organisms') value as previously reported. Superseded automatically by results/<sample_id>/<mode>/<sample_id>.metrics.tsv when --results-dir is supplied.	Round 1	lowinput_s1	lowinput_s1_r1	competitive
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	1	replicate 2	sample	minimap2_competitive	384950	622171385	1000	qubit_library_input	0.38495	622.171385	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'S1', row with Plot==1, Replicate==2	Round 1 headline ('All organisms') value as previously reported. Superseded automatically by results/<sample_id>/<mode>/<sample_id>.metrics.tsv when --results-dir is supplied.	Round 1	lowinput_s1	lowinput_s1_r2	competitive
This study	This study	D6311 community DNA + lambda carrier, depletion-mode adaptive sampling	All organisms	2	replicate 3	sample	minimap2_competitive	360548	604206577	1340.6397000000002	qubit_library_input	0.2689372841935085	450.68527882622	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'S1', row with Plot==1, Replicate==3	Round 1 headline ('All organisms') value as previously reported. Superseded automatically by results/<sample_id>/<mode>/<sample_id>.metrics.tsv when --results-dir is supplied.	Round 1	lowinput_s1	lowinput_s1_r3	competitive
This study	This study	D6321 whole cells, post-extraction, depletion-mode adaptive sampling	All organisms	0	aggregate (3 preps pooled into one extraction)	sample	minimap2_competitive	7257	18899147	223.20000000000002	qubit_library_input	0.03251344086021505	84.67359767025089	TRUE	legacy_spreadsheet	workbook '2026-04-29 Low-Input Comparison Calculations.xlsx' sheet 'S2' B24/B31 (counts), B16 (0.2232 ng into library prep)	Round 2 headline value as previously reported: 3 D6321 preps pooled into one extraction, 10 uL elution, 2 uL to Qubit, 8 uL x 0.0279 ng/uL = 0.2232 ng into library prep. NOTE this does not correspond 1:1 to any row of assets/samplesheets/lowinput_s2.csv (which lists r1/r2/r3 at 0.26/0.32/0.40 ng); live pipeline output supersedes it per replicate.	Round 2	lowinput_s2	lowinput_s2	competitive
